text,source_party,source_name,topic,bias_estimate,model_uncertainity,sentence_id,article_id
"While Kellyanne Conway was a staunch defender of Donald Trump during his four years in the White House, her husband has been one of Trump’s most scathing critics on the right.",Left,alternet,Conversational,1,0,4ef2c7a4-aeb0-4472-898e-45a0ad4ae8fd,5a2356e1-1af6-4ad6-9c7a-f774324b5692
"Three weeks on, the Republicans have been frittering away their majority status in the House.",Left,alternet,Politics,1,0,abcb9997-033a-484e-b751-1611e43c1ce6,d6b392a2-17fa-4593-8d32-93d8723a8596
"A few years ago, the far-right Britain First claimed that 5,000 of its members had joined the Tory party.",Left,alternet,Diplomacy,1,0,9f6abed7-36e2-4eec-a5e5-bda8ce599b75,db97115d-b861-4a5b-87af-c120824d9336
"Jones has a history of prolific fabulism Jones got his start in public access broadcasting in Austin, Texas, in the 1990s.",Left,alternet,Politics,1,0,23e188e6-c2a4-4cea-907d-2e4930019450,aa072ec2-4548-403b-a5ec-ae279f086bff
"The fight over masks is heated, and Goodwin, who supports a mask mandate, said rabid Ziegler supporters had been harassing her since the vote last Friday.",Left,alternet,Politics,1,0,9cedba74-945b-4d1a-af64-fab180fe918a,27dcd49a-c9d3-4434-96ef-483a2a46c776
"There’s a clear and baffling sense of competition between European NGO ships and the Libyan Coast Guard, and the Libyans’ aggression can be explained in part by their lucrative contract with Europe.",Left,alternet,Disaster,1,0,4b282048-55a1-49ac-b76d-a07325a9f1c2,d5983a58-a3e9-4e22-a1a4-c8a2013c0d1f
"MARKETS DEPEND for their very existence on rules governing property (what can be owned), monopoly (what degree of market power is permissible), contracts (what can be exchanged and under what terms), bankruptcy (what happens when purchasers can’t pay up), labor unions (how much power should workers have), and how all of this is enforced.",Left,alternet,Economics,1,0,9eeaf45f-1491-41ef-b4b8-43c24dc9f435,51cd9d94-871e-4d38-9771-bf5a0493ddd5
"But outside of that loud and devoted domain, Cheney has become one of the most admired leaders in America.",Left,alternet,Conversational,1,0,6d96a474-3102-47a8-a048-53c1877c4035,b5ac9f56-21d4-4c20-801c-540edd2a1e20
"It was a very, very big event, and it really sparked a lot of peoples’ imagination and that doesn’t surprise me for a moment.",Left,alternet,Indigenous,1,1,3fba40ed-9e4e-49f6-a5cc-8d29c4a39bea,fd544b91-ed19-4e37-80a9-a715f6ea8796
The Republican Party today is the most dangerous organization in human history.,Left,alternet,Healthcare,1,0,4bdc07e6-dc19-43e9-a41d-589192f3582b,2b83d03b-7297-44db-8d57-5f456c3971ac
"Heck, Ramaswamy even chose the office of Trump’s unofficial braintrust last week to make a major policy speech about the hows of a Ramaswamy agenda.",Left,alternet,Politics,1,0,a50cbece-ccb3-41cc-ab19-9ac7b096d65f,bc0175d6-0307-4a44-a0b5-1ba3427f910c
"Those Christians would know how to vote biblically, because they would know their Bible.",Left,alternet,Religion,1,0,09a5ab94-ffe0-4a11-90c2-c5077515f7be,9c58b670-65ee-4b5a-a492-52902f6f9f4d
"Banksy originals are worth staggering amounts of money, but as they are generally sold on the secondary market through auctions, the artist himself doesn’t get a cut.",Left,alternet,Technology,1,1,5274d695-99e0-473a-84a2-4c955ec44230,7a2d57bd-7b90-4a74-8b32-10c3c64c9cb3
