text,source_party,source_name,bias_estimate,model_uncertainity,sentence_id,article_id
Lawmakers barred Healey from using the entire $250 million until her administration finds and opens the overflow site by Dec. 31.,Lean Right,boston-herald,0,0,f92cafe0-687b-42b0-a230-7bfcd51eb8bd,e8b1611c-836a-49d1-97ee-8b6038e4d934
"In retaliation, the U.S. imposes trade sanctions and an embargo against Japan.",Lean Left,usa-today,0,1,8676e473-c548-40c4-8afd-3c16a0fe4b24,be98e52e-2033-4aff-b916-2f74913ca6e1
"That’s probably because American Jewry is predominantly Ashkenazi, and Hollywood is an American invention.",Left,vox,1,0,33df0e67-cab9-4936-a256-2c5be65df15a,c4e326ed-985f-4ac6-abc2-89c5a8d3727e
Inside the Sealed Tunnel is an area with a Site of Grace.,Center,cnet,0,0,6e6359b3-fb75-4cf8-bc7a-51515ed7b6ad,f949cb60-8f45-4311-9d54-a8efbd6dfdd6
"Adapted from the manga by Haro Aso (creator of Alice in Borderland) and Kotaro Takata, this raucous zom-com is packed with gloriously stupid moments-zombie shark fight!-but with a central theme of learning how to truly live for yourself, it also has plenty of heart.",Center,wired,1,0,9884f444-6c65-4104-bea8-66a4a1d411e5,6f2f1abb-a10f-413f-96e7-a3f98321cb37
"Once people finally reach their final destination, their luggage may not even make it with them.",Lean Left,variety,0,0,9ab83308-9f7b-4df1-8ca8-78db026070fb,de177082-dd72-408f-858f-4c768366d8ae
"But just as they were about to mockingly dismiss him, Grusch played his ace.",Left,vox,1,0,9305a9c4-f21c-4ace-9565-da2e6f0b209f,7528d321-b311-4ba1-9ca7-cba6319b5133
"You've done an awful lot of podcasting, both video and audio podcasts.",Lean Right,christianity-today,1,0,47f46ca0-f56b-4551-af28-d238d1379015,562a1474-5488-400b-8958-d550700ae339
"Youth and experience Putschists exploit anger at graft-and it works, at least initially.",Lean Left,the-economist,1,0,21adba05-0c2c-4a2c-a778-e8a06227d9cd,d1d2f814-7468-40fd-83e2-4114dd522931
"And, recognizing that Biden’s political focus is generally oriented toward working Americans, there is plenty he can do to improve their tax headaches, too.",Lean Right,fox-business,1,0,c196d41b-e39e-4f09-a7b8-e8c15e481d79,a769a879-101f-4841-a7ac-71103354c2a5
"Unless your modem and router have a battery backup, a power outage will disable those devices, rendering you unable to connect to the internet.",Center,cnet,0,0,4102c774-d4cc-4e9c-82e8-f9248debcf58,1955ecb5-f020-42e3-93c5-ad81a3d749c2
Climate change is posing a threat to thousands of species - especially ones like the Key deer that live in only one place.,Lean Left,npr,1,1,4a1aa2d0-cd3b-48f5-9746-f507d7d34e9e,c0892ca0-3bed-4078-993d-89803ab6665f
"If it's a particularly important specimen-a vintage grail, something sentimental-there are T-shirt repair specialists out there.",Left,esquire,0,0,88b7a175-edfd-47f3-8a16-76d2c4e9afce,5fdb6249-bf01-48f4-87ff-a73544af424f
"Tourists who watch women haggling in floating markets over baskets of mangosteen and fresh fish, or who see peasants in conical hats farming paddies by hand, imagine that they are witnessing something timeless-life as it always has been, its rhythms dictated by seasons, land and sea.",Lean Left,the-economist,0,0,b9f67d98-bb56-4fc7-ad24-9c86828fe98a,08606ee5-fec6-459f-89ed-ea4179f45700
"This court finds, like the majority of district courts to consider this issue so far, that playgrounds are analogous to schools.",Right,townhall,0,0,0e542f60-f34f-4abd-9014-f0a2cbdcf45d,ac280ea8-83f2-4e3f-b4ad-29d27aacb878
"With oil at $150, Saudis could buy Champions League franchise Saudi Arabia will acquire the Champions League franchise on the back of soaring crude prices, hitting some $150 per barrel, almost double their current level.",Lean Right,rt,0,0,35e960c7-2cd6-46be-adc1-a9c15c23c07f,acd4bd16-0551-40b1-bf8c-c64b4797ef0e
"About 1 percent of those new jobs are expected to have a law enforcement component, and may require employees to carry firearms, though few ordinary Americans are likely to come across an armed IRS official.",Left,vox,0,0,497ad93c-bc8f-4c24-9c8b-ca1437062d99,6b03fc23-3dcb-400f-8ad8-49c8905f1da4
ISPs and affiliated trade associations are adamant that net neutrality regulation is unnecessary -- and say it could actually harm us.,Center,cnet,1,0,9c86c19c-6c64-47da-b511-eeb62f301698,ef034960-220d-4579-97b5-6bd7225d8aca
"If a proposed density-bonus project is shown to have serious environmental impacts, the city or county is now powerless to deny it.",Left,mother-jones,0,0,9ad95ad2-4155-4ac7-9395-8c2dbf477afd,eddc319f-1781-444c-b411-3fc399e52c5b
Jesus is the fountain that overflows continually and never runs dry.,Lean Right,the-christian-post,1,0,d379ed6a-356a-4201-8374-35ca18f168f9,4969842b-4206-42c3-b149-19c96f605c87
"Last week, its members held a protest outside the Houston office of the National Association for the Advancement of Colored People to demand that it denounce Black Lives Matter, according to video posted online by the group.",Left,alternet,0,0,c5718a44-e092-4756-a060-ab1e7f8616a3,255352c0-b262-41c1-b5b6-7e50d8b4d964
"What weighs less, a pound of mistletoe or a pound of pine needles?",Lean Left,usa-today,0,0,db54b482-931e-470e-a9dd-e4907825741b,a25c3ac1-bb08-403b-86d0-1f1e4db53fec
